116HG	Prader-Willi Syndrome
B4GALT2	Autism Spectrum Disorder
B4GALT5	Multiple Sclerosis
B4GALT6	Amyotrophic Lateral Sclerosis
BACE1	Alzheimer's Disease
BACE1-AS	Alzheimer's Disease
BACH2	Multiple Sclerosis
BAG3	Muscular Dystrophy, Parkinson's Disease
BAG4	Autism Spectrum Disorder
BAG5	Autism Spectrum Disorder
BAG6	Autism Spectrum Disorder
BAIAP2	Glioma
BAK1	Autism Spectrum Disorder, Multiple Sclerosis
BANK1	Alzheimer's Disease, Autism Spectrum Disorder
BAP1	Autism Spectrum Disorder, Parkinson's Disease
BARD1	Neuroblastoma
BARX1	Parkinson's Disease
BATF3	Multiple Sclerosis
BATF	Multiple Sclerosis
BC002811	Glioma
BC012548	Glioma
BC034767	Restless legs Syndrome
BC041658	Glioma
BCAM	Alzheimer's Disease
BCAN	Glioma
BCAP31	Dystonia, Intellectual Disability
BCAR1	Intracranial Aneurysm
BCAR3	Alzheimer's Disease
BCAS1	Multiple Sclerosis
BCAS2	Autism Spectrum Disorder
BCAS3	Alzheimer's Disease
BCHE	Alzheimer's Disease
BCKDK	Alzheimer's Disease, Parkinson's Disease
BCL10	Multiple Sclerosis
BCL11A	Epilepsy, Intellectual Disability
BCL2L11	Alzheimer's Disease, Multiple Sclerosis
BCL2L12	Glioma
BCL2L1	Glioma
BCL2	Multiple Sclerosis
BCL3	Alzheimer's Disease
BCL6	Glioma, Multiple Sclerosis, Neuroblastoma
BCL9L	Multiple Sclerosis
BCLAF1	Muscular Dystrophy
BCOR	Glioma
BCYRN1	Alzheimer's Disease, Glioma
BDNF-AS	Huntington's Disease, Psychiatric Disease, Schizophrenia
BDNF	Parkinson's Disease
BECN1	Encephalitis
BET1L	Intracranial Aneurysm
BHLHE40	Multiple Sclerosis
BICD1	Parkinson's Disease
BIN1	Alzheimer's Disease
BIN3	Parkinson's Disease
BIRC5	Glioma
BMI1	Glioma
BMP1	Alzheimer's Disease
BMP2	Alzheimer's Disease
BMP4	Glioma, Parkinson's Disease
BMPER	Alzheimer's Disease
BMPR1B	Glioma
BMX	Glioma
BNC2	Epilepsy
